,TIME,SRC,PACKET_SIZE,CUMULATIVE_PACKET_SIZE,TOTAL_PACKET_SIZE
1029,0.045357,1.0,97.0,2762.0,3158.0
1030,0.02579,1.0,573.0,1360.0,2252.0
1031,0.052374,-1.0,110.0,2938.0,2938.0
1032,0.056919,-1.0,66.0,2828.0,3092.0
1033,0.005365,1.0,66.0,1230.0,3003.0
1034,0.078444,1.0,66.0,6329.0,6756.0
1035,0.007988,-1.0,278.0,1090.0,3019.0
1036,0.036363,1.0,66.0,1296.0,3072.0
1037,0.047969,1.0,66.0,3034.0,6788.0
1038,0.003399,1.0,606.0,820.0,3091.0
1039,0.022498,-1.0,66.0,2687.0,3017.0
1040,0.067323,1.0,130.0,2254.0,3766.0
1041,0.030032,-1.0,150.0,1866.0,5735.0
1042,0.010702,-1.0,101.0,2962.0,3094.0
1043,0.075681,1.0,606.0,886.0,3093.0
1044,0.005066,-1.0,66.0,886.0,3092.0
1045,0.010313,-1.0,66.0,2762.0,3092.0
1046,0.0,-1.0,147.0,147.0,4279.0
1047,0.051627,-1.0,66.0,952.0,3093.0
1048,0.058034,1.0,97.0,4698.0,5870.0
1049,1.9e-05,1.0,66.0,167.0,167.0
1050,0.0,1.0,559.0,559.0,1107.0
1051,0.076069,1.0,66.0,739.0,739.0
1052,0.002,-1.0,101.0,331.0,397.0
1053,0.03193,-1.0,144.0,2016.0,2686.0
1054,0.00296,-1.0,105.0,925.0,2024.0
1055,0.00889,-1.0,101.0,272.0,338.0
1056,0.000305,1.0,202.0,1147.0,4131.0
1057,3.2e-05,-1.0,66.0,132.0,2444.0
1058,0.042575,-1.0,66.0,7398.0,7728.0
1059,0.040418,1.0,74.0,140.0,3097.0
1060,0.00777,-1.0,140.0,2538.0,3097.0
1061,0.003305,1.0,66.0,484.0,896.0
1062,0.010791,-1.0,110.0,2876.0,3008.0
1063,0.071553,1.0,97.0,8746.0,8922.0
1064,0.009004,1.0,130.0,1360.0,3095.0
1065,0.037818,1.0,606.0,886.0,3075.0
1066,0.006464,-1.0,278.0,1090.0,3023.0
1067,0.007706,-1.0,140.0,2538.0,3009.0
1068,0.006891,1.0,236.0,1596.0,2966.0
1069,0.013763,-1.0,66.0,2765.0,3095.0
1070,0.009577,-1.0,97.0,2861.0,3094.0
1071,0.020487,-1.0,105.0,2051.0,2362.0
1072,0.013081,-1.0,66.0,2771.0,3101.0
1073,0.074087,1.0,66.0,214.0,820.0
1074,0.007772,-1.0,140.0,1730.0,3032.0
1075,0.026578,1.0,101.0,4038.0,4178.0
1076,0.001739,-1.0,74.0,148.0,2977.0
1077,0.015326,-1.0,630.0,6815.0,8066.0
1078,0.071693,-1.0,278.0,1090.0,2064.0
1079,0.072116,1.0,236.0,1522.0,2063.0
1080,0.022268,-1.0,101.0,2998.0,3130.0
1081,5e-05,-1.0,66.0,132.0,2348.0
1082,0.007903,-1.0,230.0,2365.0,3064.0
1083,0.006063,1.0,130.0,1360.0,3000.0
1084,0.032529,-1.0,66.0,3047.0,3377.0
1085,0.008693,-1.0,66.0,589.0,5145.0
1086,0.021833,-1.0,97.0,1954.0,6569.0
1087,4e-05,1.0,66.0,140.0,2063.0
1088,0.005835,-1.0,278.0,1164.0,3064.0
1089,0.009546,1.0,97.0,2666.0,3062.0
1090,0.006887,1.0,66.0,1582.0,2852.0
1091,0.035234,1.0,74.0,888.0,888.0
1092,0.067009,-1.0,74.0,148.0,820.0
1093,0.0,1.0,66.0,66.0,132.0
1094,0.073015,1.0,540.0,2062.0,2062.0
1095,0.071719,-1.0,278.0,1090.0,2062.0
1096,0.07624,1.0,130.0,1286.0,2064.0
1097,0.076655,1.0,130.0,1286.0,2062.0
1098,0.06988,1.0,66.0,1156.0,2064.0
1099,0.076683,1.0,542.0,2064.0,2064.0
1100,0.052036,-1.0,66.0,2246.0,2246.0
1101,0.001441,-1.0,74.0,148.0,3179.0
1102,0.011833,-1.0,66.0,2737.0,3067.0
1103,0.054919,-1.0,97.0,3210.0,3377.0
1104,0.009316,-1.0,105.0,1855.0,5070.0
1105,0.076454,1.0,236.0,1522.0,2063.0
1106,0.005338,1.0,606.0,746.0,2990.0
1107,0.056021,-1.0,66.0,5010.0,5305.0
1108,0.006566,1.0,97.0,2596.0,2992.0
1109,0.009529,-1.0,97.0,2831.0,3064.0
1110,0.001594,-1.0,97.0,308.0,3650.0
1111,0.009773,-1.0,230.0,2294.0,2927.0
1112,0.012224,1.0,78.0,1128.0,2396.0
1113,0.017358,1.0,66.0,2639.0,3132.0
1114,0.00155,-1.0,97.0,313.0,3512.0
1115,0.001465,1.0,66.0,214.0,2847.0
1116,0.074077,1.0,606.0,820.0,820.0
1117,0.02289,-1.0,66.0,3900.0,6947.0
1118,0.008064,-1.0,140.0,2505.0,2910.0
1119,0.014272,1.0,74.0,140.0,3130.0
1120,0.001732,-1.0,74.0,148.0,2933.0
1121,3.4e-05,1.0,66.0,140.0,2090.0
1122,0.008306,1.0,236.0,1596.0,3092.0
1123,0.071817,-1.0,278.0,1090.0,2090.0
1124,0.006632,1.0,66.0,566.0,1864.0
1125,0.015058,1.0,569.0,1023.0,1516.0
1126,3.3e-05,1.0,66.0,140.0,2091.0
1127,0.001191,-1.0,74.0,148.0,3244.0
1128,0.008814,1.0,66.0,2602.0,3095.0
1129,0.009583,1.0,591.0,2681.0,3507.0
1130,0.0,-1.0,66.0,66.0,3091.0
1131,0.008938,-1.0,97.0,2861.0,3094.0
1132,0.001733,-1.0,74.0,148.0,3024.0
1133,0.000445,1.0,66.0,410.0,2320.0
1134,0.018373,1.0,66.0,2123.0,6445.0
1135,0.029762,-1.0,230.0,2460.0,3159.0
1136,0.024366,-1.0,140.0,2599.0,3070.0
1137,0.007771,1.0,236.0,1596.0,3091.0
1138,0.053693,1.0,97.0,3281.0,3457.0
1139,0.011699,-1.0,66.0,2760.0,3090.0
1140,1.8e-05,-1.0,368.0,510.0,4900.0
1141,0.002557,-1.0,66.0,1440.0,6601.0
1142,0.011823,1.0,236.0,1212.0,2554.0
1143,0.012761,1.0,66.0,3494.0,3739.0
1144,0.004901,1.0,66.0,1230.0,3092.0
1145,0.009542,1.0,66.0,1230.0,2959.0
1146,0.067849,-1.0,74.0,148.0,820.0
1147,0.011266,-1.0,101.0,2960.0,3092.0
1148,0.045648,1.0,566.0,2751.0,3680.0
1149,0.013185,1.0,97.0,2697.0,3093.0
1150,0.009434,1.0,97.0,2694.0,3024.0
1151,0.008999,-1.0,66.0,886.0,3089.0
1152,0.002045,-1.0,74.0,148.0,2977.0
1153,0.016539,-1.0,66.0,5990.0,10964.0
1154,0.009762,-1.0,278.0,1164.0,2975.0
1155,0.028439,1.0,97.0,2735.0,3131.0
1156,0.035988,-1.0,66.0,3623.0,3697.0
1157,0.062626,-1.0,66.0,5085.0,5159.0
1158,0.000111,-1.0,105.0,344.0,4977.0
1159,0.002312,1.0,66.0,1404.0,1470.0
1160,0.006885,1.0,97.0,1782.0,2178.0
1161,0.032834,-1.0,140.0,2571.0,3042.0
1162,0.027604,-1.0,140.0,3683.0,4865.0
1163,0.001235,-1.0,97.0,533.0,797.0
1164,0.04772,-1.0,140.0,4044.0,4537.0
1165,0.038048,1.0,66.0,3151.0,3644.0
1166,0.000284,1.0,66.0,410.0,2091.0
1167,0.000986,-1.0,278.0,344.0,2243.0
1168,0.01009,1.0,66.0,1230.0,2977.0
1169,0.006698,1.0,66.0,1230.0,3064.0
1170,0.074058,1.0,606.0,820.0,820.0
1171,0.003895,-1.0,66.0,738.0,3134.0
1172,1.1e-05,-1.0,66.0,132.0,2362.0
1173,0.055053,-1.0,66.0,2701.0,2701.0
1174,0.005186,-1.0,66.0,886.0,2978.0
1175,0.057246,-1.0,150.0,3217.0,3656.0
1176,0.084765,1.0,66.0,214.0,820.0
1177,0.044907,1.0,97.0,2737.0,3045.0
1178,0.013323,1.0,66.0,2575.0,3068.0
1179,0.0,1.0,74.0,74.0,3070.0
1180,0.008159,1.0,97.0,2674.0,3070.0
1181,0.008614,-1.0,230.0,2369.0,3657.0
1182,0.077037,-1.0,66.0,812.0,2062.0
1183,0.004869,-1.0,278.0,1164.0,3067.0
1184,0.012568,1.0,540.0,2498.0,2991.0
1185,0.00855,-1.0,97.0,2835.0,3068.0
1186,0.007061,1.0,130.0,1360.0,3068.0
1187,0.071418,1.0,66.0,214.0,820.0
1188,0.005316,1.0,690.0,2356.0,6694.0
1189,4.1e-05,1.0,66.0,140.0,2063.0
1190,0.0,1.0,66.0,66.0,132.0
1191,0.008659,1.0,542.0,2138.0,3133.0
1192,0.030355,-1.0,74.0,214.0,3067.0
1193,0.012211,1.0,74.0,140.0,3132.0
1194,0.012182,-1.0,66.0,2570.0,3110.0
1195,0.01022,-1.0,142.0,1643.0,2288.0
1196,0.008488,1.0,538.0,2134.0,2843.0
1197,3.1e-05,1.0,66.0,140.0,2060.0
1198,0.015014,-1.0,101.0,2860.0,2992.0
1199,0.043109,-1.0,97.0,3486.0,3766.0
1200,0.040352,1.0,606.0,886.0,2934.0
1201,0.005535,1.0,66.0,1230.0,2977.0
1202,0.079493,1.0,541.0,2063.0,2063.0
1203,0.01753,-1.0,66.0,4371.0,9362.0
1204,0.05169,-1.0,66.0,2851.0,2851.0
1205,0.027474,-1.0,66.0,952.0,3245.0
1206,0.00172,-1.0,74.0,148.0,3064.0
1207,0.013331,1.0,74.0,140.0,3133.0
1208,1.1e-05,1.0,66.0,167.0,167.0
1209,0.084162,-1.0,105.0,377.0,443.0
1210,0.051768,1.0,66.0,614.0,614.0
1211,0.009646,1.0,239.0,520.0,687.0
1212,0.029121,-1.0,101.0,831.0,1239.0
1213,0.04564,1.0,297.0,363.0,363.0
1214,0.076596,-1.0,101.0,327.0,393.0
1215,0.006135,1.0,105.0,2139.0,3944.0
1216,0.037499,-1.0,101.0,392.0,458.0
1217,0.076986,1.0,606.0,820.0,820.0
1218,0.014256,-1.0,101.0,526.0,592.0
1219,0.049158,1.0,66.0,1858.0,2255.0
1220,0.080849,-1.0,101.0,349.0,415.0
1221,6.3e-05,-1.0,97.0,240.0,880.0
1222,0.04468,-1.0,230.0,3264.0,3963.0
1223,0.009719,1.0,279.0,345.0,512.0
1224,0.001988,1.0,668.0,2306.0,3874.0
1225,0.007465,1.0,105.0,1462.0,1755.0
1226,0.050764,1.0,66.0,614.0,614.0
1227,0.003555,1.0,105.0,717.0,2423.0
1228,0.0,1.0,800.0,800.0,3964.0
1229,0.01183,1.0,66.0,1539.0,2060.0
1230,1.8e-05,1.0,66.0,140.0,3272.0
1231,0.047844,-1.0,230.0,8851.0,9396.0
1232,0.031421,1.0,535.0,2197.0,2994.0
1233,0.054597,-1.0,66.0,3451.0,6964.0
1234,0.069455,1.0,606.0,820.0,820.0
1235,0.00174,1.0,66.0,214.0,3060.0
1236,0.043514,1.0,66.0,3107.0,3512.0
1237,5.2e-05,-1.0,66.0,198.0,2364.0
1238,0.0,-1.0,101.0,101.0,443.0
1239,0.048682,-1.0,230.0,6992.0,7537.0
1240,0.037701,1.0,66.0,5301.0,5546.0
1241,0.010075,-1.0,97.0,2730.0,3060.0
1242,0.005236,1.0,105.0,1431.0,4559.0
1243,0.080487,1.0,130.0,1286.0,2058.0
1244,0.008587,1.0,97.0,1777.0,2173.0
1245,0.032293,1.0,66.0,585.0,3432.0
1246,0.00175,1.0,66.0,214.0,3171.0
1247,0.07422,-1.0,74.0,148.0,820.0
1248,0.079918,-1.0,97.0,3566.0,3733.0
1249,0.074192,-1.0,74.0,148.0,820.0
1250,0.023896,1.0,66.0,6275.0,9524.0
1251,0.076731,1.0,236.0,1522.0,2094.0
